caseid,participant_id,tier,provider,model,raw_response,error,pred_group_ca,pred_interpersonal_ca,pred_group_band,pred_interpersonal_band,Age,Sex,Country of residence,Student status,Employment status,LocationLatitude,LocationLongitude,gt_group_ca,gt_interpersonal_ca,gt_group_band,gt_interpersonal_band,error_group,abs_error_group,score_distance_group,norm_score_distance_group,exact_match_group,pred_group_band_reported,pred_group_band_resolved,band_match_group,band_distance_group,norm_band_distance_group,error_interpersonal,abs_error_interpersonal,score_distance_interpersonal,norm_score_distance_interpersonal,exact_match_interpersonal,pred_interpersonal_band_reported,pred_interpersonal_band_resolved,band_match_interpersonal,band_distance_interpersonal,norm_band_distance_interpersonal
ebab12e9878344fdc93a8c1cad27ff2f709e12b90f0496de3332f508f3b2b9c9__demos,ebab12e9878344fdc93a8c1cad27ff2f709e12b90f0496de3332f508f3b2b9c9,demos,vllm,meta-llama/Llama-3.2-3B-Instruct,"{   ""self_reported_group_ca"": 10,   ""self_reported_interpersonal_ca"": 16,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""moderate"" }",,10,16,moderate,moderate,36.0,Male,United States,Yes,Part-Time,33.415800000000004,-119.0493,14,16,moderate,moderate,-4,4,4,0.16666666666666666,False,moderate,low,False,1,0.5,0,0,0,0.0,True,moderate,moderate,True,0,0.0
ebab12e9878344fdc93a8c1cad27ff2f709e12b90f0496de3332f508f3b2b9c9__employment,ebab12e9878344fdc93a8c1cad27ff2f709e12b90f0496de3332f508f3b2b9c9,employment,vllm,meta-llama/Llama-3.2-3B-Instruct,"{   ""self_reported_group_ca"": 10,   ""self_reported_interpersonal_ca"": 16,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""moderate"" }",,10,16,moderate,moderate,36.0,Male,United States,Yes,Part-Time,33.415800000000004,-119.0493,14,16,moderate,moderate,-4,4,4,0.16666666666666666,False,moderate,low,False,1,0.5,0,0,0,0.0,True,moderate,moderate,True,0,0.0
ebab12e9878344fdc93a8c1cad27ff2f709e12b90f0496de3332f508f3b2b9c9__geo,ebab12e9878344fdc93a8c1cad27ff2f709e12b90f0496de3332f508f3b2b9c9,geo,vllm,meta-llama/Llama-3.2-3B-Instruct,"{   ""self_reported_group_ca"": 10,   ""self_reported_interpersonal_ca"": 16,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""moderate"" }",,10,16,moderate,moderate,36.0,Male,United States,Yes,Part-Time,33.415800000000004,-119.0493,14,16,moderate,moderate,-4,4,4,0.16666666666666666,False,moderate,low,False,1,0.5,0,0,0,0.0,True,moderate,moderate,True,0,0.0
ebab12e9878344fdc93a8c1cad27ff2f709e12b90f0496de3332f508f3b2b9c9__transit,ebab12e9878344fdc93a8c1cad27ff2f709e12b90f0496de3332f508f3b2b9c9,transit,vllm,meta-llama/Llama-3.2-3B-Instruct,"{   ""self_reported_group_ca"": 12,   ""self_reported_interpersonal_ca"": 18,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""moderate"" }",,12,18,moderate,moderate,36.0,Male,United States,Yes,Part-Time,33.415800000000004,-119.0493,14,16,moderate,moderate,-2,2,2,0.08333333333333333,False,moderate,low,False,1,0.5,2,2,2,0.08333333333333333,False,moderate,moderate,True,0,0.0
ebab12e9878344fdc93a8c1cad27ff2f709e12b90f0496de3332f508f3b2b9c9__full,ebab12e9878344fdc93a8c1cad27ff2f709e12b90f0496de3332f508f3b2b9c9,full,vllm,meta-llama/Llama-3.2-3B-Instruct,"{   ""self_reported_group_ca"": 10,   ""self_reported_interpersonal_ca"": 16,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""moderate"" }",,10,16,moderate,moderate,36.0,Male,United States,Yes,Part-Time,33.415800000000004,-119.0493,14,16,moderate,moderate,-4,4,4,0.16666666666666666,False,moderate,low,False,1,0.5,0,0,0,0.0,True,moderate,moderate,True,0,0.0
b6954799ca47bc836ac02ab86e4710c3b0e096d7ace449b81aaa1d5845431821__demos,b6954799ca47bc836ac02ab86e4710c3b0e096d7ace449b81aaa1d5845431821,demos,vllm,meta-llama/Llama-3.2-3B-Instruct,"{   ""self_reported_group_ca"": 10,   ""self_reported_interpersonal_ca"": 16,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""moderate"" }",,10,16,moderate,moderate,41.0,Male,United States,No,Other,34.7196,-81.5487,17,17,moderate,moderate,-7,7,7,0.2916666666666667,False,moderate,low,False,1,0.5,-1,1,1,0.041666666666666664,False,moderate,moderate,True,0,0.0
b6954799ca47bc836ac02ab86e4710c3b0e096d7ace449b81aaa1d5845431821__employment,b6954799ca47bc836ac02ab86e4710c3b0e096d7ace449b81aaa1d5845431821,employment,vllm,meta-llama/Llama-3.2-3B-Instruct,"{   ""self_reported_group_ca"": 10,   ""self_reported_interpersonal_ca"": 16,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""moderate"" }",,10,16,moderate,moderate,41.0,Male,United States,No,Other,34.7196,-81.5487,17,17,moderate,moderate,-7,7,7,0.2916666666666667,False,moderate,low,False,1,0.5,-1,1,1,0.041666666666666664,False,moderate,moderate,True,0,0.0
b6954799ca47bc836ac02ab86e4710c3b0e096d7ace449b81aaa1d5845431821__geo,b6954799ca47bc836ac02ab86e4710c3b0e096d7ace449b81aaa1d5845431821,geo,vllm,meta-llama/Llama-3.2-3B-Instruct,"{   ""self_reported_group_ca"": 10,   ""self_reported_interpersonal_ca"": 16,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""moderate"" }",,10,16,moderate,moderate,41.0,Male,United States,No,Other,34.7196,-81.5487,17,17,moderate,moderate,-7,7,7,0.2916666666666667,False,moderate,low,False,1,0.5,-1,1,1,0.041666666666666664,False,moderate,moderate,True,0,0.0
b6954799ca47bc836ac02ab86e4710c3b0e096d7ace449b81aaa1d5845431821__transit,b6954799ca47bc836ac02ab86e4710c3b0e096d7ace449b81aaa1d5845431821,transit,vllm,meta-llama/Llama-3.2-3B-Instruct,"{   ""self_reported_group_ca"": 10,   ""self_reported_interpersonal_ca"": 12,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""moderate"" }",,10,12,moderate,moderate,41.0,Male,United States,No,Other,34.7196,-81.5487,17,17,moderate,moderate,-7,7,7,0.2916666666666667,False,moderate,low,False,1,0.5,-5,5,5,0.20833333333333334,False,moderate,low,False,1,0.5
b6954799ca47bc836ac02ab86e4710c3b0e096d7ace449b81aaa1d5845431821__full,b6954799ca47bc836ac02ab86e4710c3b0e096d7ace449b81aaa1d5845431821,full,vllm,meta-llama/Llama-3.2-3B-Instruct,"{   ""self_reported_group_ca"": 10,   ""self_reported_interpersonal_ca"": 12,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""moderate"" }",,10,12,moderate,moderate,41.0,Male,United States,No,Other,34.7196,-81.5487,17,17,moderate,moderate,-7,7,7,0.2916666666666667,False,moderate,low,False,1,0.5,-5,5,5,0.20833333333333334,False,moderate,low,False,1,0.5
