caseid,answer,generated_text
ebab12e9878344fdc93a8c1cad27ff2f709e12b90f0496de3332f508f3b2b9c9__demos,"{""gt_group_ca"":14,""gt_interpersonal_ca"":16,""gt_group_band"":""moderate"",""gt_interpersonal_band"":""moderate""}","You are a 36-year-old man living in the United States. You are a student.  Rate your communication apprehension in two contexts independently: (1) group discussions, and (2) one-on-one conversations with new people.  For each context, report an integer from 6 (very low) to 30 (very high) and its band (low / moderate / high). Mid-scale scores are common; no single life circumstance determines your apprehension.  Return ONLY the JSON object specified in the system instructions. #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+#"
ebab12e9878344fdc93a8c1cad27ff2f709e12b90f0496de3332f508f3b2b9c9__employment,"{""gt_group_ca"":14,""gt_interpersonal_ca"":16,""gt_group_band"":""moderate"",""gt_interpersonal_band"":""moderate""}","You are a 36-year-old man living in the United States. You are a student.  You work part-time.  Rate your communication apprehension in two contexts independently: (1) group discussions, and (2) one-on-one conversations with new people.  For each context, report an integer from 6 (very low) to 30 (very high) and its band (low / moderate / high). Mid-scale scores are common; no single life circumstance determines your apprehension.  Return ONLY the JSON object specified in the system instructions. #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+#"
ebab12e9878344fdc93a8c1cad27ff2f709e12b90f0496de3332f508f3b2b9c9__geo,"{""gt_group_ca"":14,""gt_interpersonal_ca"":16,""gt_group_band"":""moderate"",""gt_interpersonal_band"":""moderate""}","You are a 36-year-old man living in the United States. You are a student.  You work part-time.  Your approximate survey location is near latitude 33.4 and longitude -119.0.  Rate your communication apprehension in two contexts independently: (1) group discussions, and (2) one-on-one conversations with new people.  For each context, report an integer from 6 (very low) to 30 (very high) and its band (low / moderate / high). Mid-scale scores are common; no single life circumstance determines your apprehension.  Return ONLY the JSON object specified in the system instructions. #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+#"
ebab12e9878344fdc93a8c1cad27ff2f709e12b90f0496de3332f508f3b2b9c9__transit,"{""gt_group_ca"":14,""gt_interpersonal_ca"":16,""gt_group_band"":""moderate"",""gt_interpersonal_band"":""moderate""}","You are a 36-year-old man living in the United States. You are a student.  You work part-time.  Your approximate survey location is near latitude 33.4 and longitude -119.0.  In the last three months, you used public transportation (bus, train, tram, etc.) 2-4 days a month. On a typical day of public transportation use, you take 3-4 rides. In the last three months, you used ride share platforms (Lyft, Uber, DiDi, etc.) 0-1 days a month. On a typical day of ride share use, you take 3-4 rides.  Rate your communication apprehension in two contexts independently: (1) group discussions, and (2) one-on-one conversations with new people.  For each context, report an integer from 6 (very low) to 30 (very high) and its band (low / moderate / high). Mid-scale scores are common; no single life circumstance determines your apprehension.  Return ONLY the JSON object specified in the system instructions. #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+#"
ebab12e9878344fdc93a8c1cad27ff2f709e12b90f0496de3332f508f3b2b9c9__full,"{""gt_group_ca"":14,""gt_interpersonal_ca"":16,""gt_group_band"":""moderate"",""gt_interpersonal_band"":""moderate""}","You are a 36-year-old man living in the United States. You are a student.  You work part-time.  Your approximate survey location is near latitude 33.4 and longitude -119.0.  In the last three months, you used public transportation (bus, train, tram, etc.) 2-4 days a month. On a typical day of public transportation use, you take 3-4 rides. In the last three months, you used ride share platforms (Lyft, Uber, DiDi, etc.) 0-1 days a month. On a typical day of ride share use, you take 3-4 rides.  Rate your communication apprehension in two contexts independently: (1) group discussions, and (2) one-on-one conversations with new people.  For each context, report an integer from 6 (very low) to 30 (very high) and its band (low / moderate / high). Mid-scale scores are common; no single life circumstance determines your apprehension.  Return ONLY the JSON object specified in the system instructions. #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+#"
ebab12e9878344fdc93a8c1cad27ff2f709e12b90f0496de3332f508f3b2b9c9__v3_rideshare,"{""gt_group_ca"":14,""gt_interpersonal_ca"":16,""gt_group_band"":""moderate"",""gt_interpersonal_band"":""moderate""}","You are a 36-year-old man living in the United States. You are a student.  You work part-time.  Your approximate survey location is near latitude 33.4 and longitude -119.0.  In the last three months, you used ride share platforms (Lyft, Uber, DiDi, etc.) 0-1 days a month. On a typical day of ride share use, you take 3-4 rides.  Rate your communication apprehension in two contexts independently: (1) group discussions, and (2) one-on-one conversations with new people.  For each context, report an integer from 6 (very low) to 30 (very high) and its band (low / moderate / high). Mid-scale scores are common; no single life circumstance determines your apprehension.  Return ONLY the JSON object specified in the system instructions. #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+#"
ebab12e9878344fdc93a8c1cad27ff2f709e12b90f0496de3332f508f3b2b9c9__v3_public_transit,"{""gt_group_ca"":14,""gt_interpersonal_ca"":16,""gt_group_band"":""moderate"",""gt_interpersonal_band"":""moderate""}","You are a 36-year-old man living in the United States. You are a student.  You work part-time.  Your approximate survey location is near latitude 33.4 and longitude -119.0.  In the last three months, you used public transportation (bus, train, tram, etc.) 2-4 days a month. On a typical day of public transportation use, you take 3-4 rides.  Rate your communication apprehension in two contexts independently: (1) group discussions, and (2) one-on-one conversations with new people.  For each context, report an integer from 6 (very low) to 30 (very high) and its band (low / moderate / high). Mid-scale scores are common; no single life circumstance determines your apprehension.  Return ONLY the JSON object specified in the system instructions. #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+#"
ebab12e9878344fdc93a8c1cad27ff2f709e12b90f0496de3332f508f3b2b9c9__v3_voice,"{""gt_group_ca"":14,""gt_interpersonal_ca"":16,""gt_group_band"":""moderate"",""gt_interpersonal_band"":""moderate""}","You are a 36-year-old man living in the United States. You are a student.  You work part-time.  Your approximate survey location is near latitude 33.4 and longitude -119.0.  Rate your communication apprehension in two contexts independently: (1) group discussions, and (2) one-on-one conversations with new people.  For each context, report an integer from 6 (very low) to 30 (very high) and its band (low / moderate / high). Mid-scale scores are common; no single life circumstance determines your apprehension.  Return ONLY the JSON object specified in the system instructions. #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+#"
b6954799ca47bc836ac02ab86e4710c3b0e096d7ace449b81aaa1d5845431821__demos,"{""gt_group_ca"":17,""gt_interpersonal_ca"":17,""gt_group_band"":""moderate"",""gt_interpersonal_band"":""moderate""}","You are a 41-year-old man living in the United States. You are not a student.  Rate your communication apprehension in two contexts independently: (1) group discussions, and (2) one-on-one conversations with new people.  For each context, report an integer from 6 (very low) to 30 (very high) and its band (low / moderate / high). Mid-scale scores are common; no single life circumstance determines your apprehension.  Return ONLY the JSON object specified in the system instructions. #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+#"
b6954799ca47bc836ac02ab86e4710c3b0e096d7ace449b81aaa1d5845431821__employment,"{""gt_group_ca"":17,""gt_interpersonal_ca"":17,""gt_group_band"":""moderate"",""gt_interpersonal_band"":""moderate""}","You are a 41-year-old man living in the United States. You are not a student.  Your employment status is Other.  Rate your communication apprehension in two contexts independently: (1) group discussions, and (2) one-on-one conversations with new people.  For each context, report an integer from 6 (very low) to 30 (very high) and its band (low / moderate / high). Mid-scale scores are common; no single life circumstance determines your apprehension.  Return ONLY the JSON object specified in the system instructions. #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+# #+#"
