caseid,answer,generated_text
ebab12e9878344fdc93a8c1cad27ff2f709e12b90f0496de3332f508f3b2b9c9__demos,"{""gt_group_ca"":14,""gt_interpersonal_ca"":16,""gt_group_band"":""moderate"",""gt_interpersonal_band"":""moderate""}","{   ""self_reported_group_ca"": 18,   ""self_reported_interpersonal_ca"": 12,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""low"" }"
ebab12e9878344fdc93a8c1cad27ff2f709e12b90f0496de3332f508f3b2b9c9__employment,"{""gt_group_ca"":14,""gt_interpersonal_ca"":16,""gt_group_band"":""moderate"",""gt_interpersonal_band"":""moderate""}","{   ""self_reported_group_ca"": 18,   ""self_reported_interpersonal_ca"": 12,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""low"" }"
ebab12e9878344fdc93a8c1cad27ff2f709e12b90f0496de3332f508f3b2b9c9__geo,"{""gt_group_ca"":14,""gt_interpersonal_ca"":16,""gt_group_band"":""moderate"",""gt_interpersonal_band"":""moderate""}","{   ""self_reported_group_ca"": 18,   ""self_reported_interpersonal_ca"": 12,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""low"" }"
ebab12e9878344fdc93a8c1cad27ff2f709e12b90f0496de3332f508f3b2b9c9__transit,"{""gt_group_ca"":14,""gt_interpersonal_ca"":16,""gt_group_band"":""moderate"",""gt_interpersonal_band"":""moderate""}","{   ""self_reported_group_ca"": 18,   ""self_reported_interpersonal_ca"": 12,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""low"" }"
ebab12e9878344fdc93a8c1cad27ff2f709e12b90f0496de3332f508f3b2b9c9__full,"{""gt_group_ca"":14,""gt_interpersonal_ca"":16,""gt_group_band"":""moderate"",""gt_interpersonal_band"":""moderate""}","{   ""self_reported_group_ca"": 18,   ""self_reported_interpersonal_ca"": 12,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""low"" }"
ebab12e9878344fdc93a8c1cad27ff2f709e12b90f0496de3332f508f3b2b9c9__v3_rideshare,"{""gt_group_ca"":14,""gt_interpersonal_ca"":16,""gt_group_band"":""moderate"",""gt_interpersonal_band"":""moderate""}","{   ""self_reported_group_ca"": 18,   ""self_reported_interpersonal_ca"": 12,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""low"" }"
ebab12e9878344fdc93a8c1cad27ff2f709e12b90f0496de3332f508f3b2b9c9__v3_public_transit,"{""gt_group_ca"":14,""gt_interpersonal_ca"":16,""gt_group_band"":""moderate"",""gt_interpersonal_band"":""moderate""}","{   ""self_reported_group_ca"": 18,   ""self_reported_interpersonal_ca"": 12,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""low"" }"
ebab12e9878344fdc93a8c1cad27ff2f709e12b90f0496de3332f508f3b2b9c9__v3_voice,"{""gt_group_ca"":14,""gt_interpersonal_ca"":16,""gt_group_band"":""moderate"",""gt_interpersonal_band"":""moderate""}","{   ""self_reported_group_ca"": 18,   ""self_reported_interpersonal_ca"": 12,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""low"" }"
b6954799ca47bc836ac02ab86e4710c3b0e096d7ace449b81aaa1d5845431821__demos,"{""gt_group_ca"":17,""gt_interpersonal_ca"":17,""gt_group_band"":""moderate"",""gt_interpersonal_band"":""moderate""}","{   ""self_reported_group_ca"": 18,   ""self_reported_interpersonal_ca"": 12,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""low"" }"
b6954799ca47bc836ac02ab86e4710c3b0e096d7ace449b81aaa1d5845431821__employment,"{""gt_group_ca"":17,""gt_interpersonal_ca"":17,""gt_group_band"":""moderate"",""gt_interpersonal_band"":""moderate""}","{   ""self_reported_group_ca"": 18,   ""self_reported_interpersonal_ca"": 12,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""low"" }"
b6954799ca47bc836ac02ab86e4710c3b0e096d7ace449b81aaa1d5845431821__geo,"{""gt_group_ca"":17,""gt_interpersonal_ca"":17,""gt_group_band"":""moderate"",""gt_interpersonal_band"":""moderate""}","{   ""self_reported_group_ca"": 18,   ""self_reported_interpersonal_ca"": 12,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""low"" }"
b6954799ca47bc836ac02ab86e4710c3b0e096d7ace449b81aaa1d5845431821__transit,"{""gt_group_ca"":17,""gt_interpersonal_ca"":17,""gt_group_band"":""moderate"",""gt_interpersonal_band"":""moderate""}","{   ""self_reported_group_ca"": 18,   ""self_reported_interpersonal_ca"": 12,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""low"" }"
b6954799ca47bc836ac02ab86e4710c3b0e096d7ace449b81aaa1d5845431821__full,"{""gt_group_ca"":17,""gt_interpersonal_ca"":17,""gt_group_band"":""moderate"",""gt_interpersonal_band"":""moderate""}","{   ""self_reported_group_ca"": 18,   ""self_reported_interpersonal_ca"": 12,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""low"" }"
b6954799ca47bc836ac02ab86e4710c3b0e096d7ace449b81aaa1d5845431821__v3_rideshare,"{""gt_group_ca"":17,""gt_interpersonal_ca"":17,""gt_group_band"":""moderate"",""gt_interpersonal_band"":""moderate""}","{   ""self_reported_group_ca"": 18,   ""self_reported_interpersonal_ca"": 12,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""low"" }"
b6954799ca47bc836ac02ab86e4710c3b0e096d7ace449b81aaa1d5845431821__v3_public_transit,"{""gt_group_ca"":17,""gt_interpersonal_ca"":17,""gt_group_band"":""moderate"",""gt_interpersonal_band"":""moderate""}","{   ""self_reported_group_ca"": 18,   ""self_reported_interpersonal_ca"": 12,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""low"" }"
b6954799ca47bc836ac02ab86e4710c3b0e096d7ace449b81aaa1d5845431821__v3_voice,"{""gt_group_ca"":17,""gt_interpersonal_ca"":17,""gt_group_band"":""moderate"",""gt_interpersonal_band"":""moderate""}","{   ""self_reported_group_ca"": 18,   ""self_reported_interpersonal_ca"": 12,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""low"" }"
6ac07c3845b0ce5cac4ab3569ea70236b7cfa8fd51576e12226279a282182dcb__demos,"{""gt_group_ca"":11,""gt_interpersonal_ca"":12,""gt_group_band"":""low"",""gt_interpersonal_band"":""low""}","{   ""self_reported_group_ca"": 18,   ""self_reported_interpersonal_ca"": 12,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""low"" }"
6ac07c3845b0ce5cac4ab3569ea70236b7cfa8fd51576e12226279a282182dcb__employment,"{""gt_group_ca"":11,""gt_interpersonal_ca"":12,""gt_group_band"":""low"",""gt_interpersonal_band"":""low""}","{   ""self_reported_group_ca"": 18,   ""self_reported_interpersonal_ca"": 12,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""low"" }"
6ac07c3845b0ce5cac4ab3569ea70236b7cfa8fd51576e12226279a282182dcb__geo,"{""gt_group_ca"":11,""gt_interpersonal_ca"":12,""gt_group_band"":""low"",""gt_interpersonal_band"":""low""}","{   ""self_reported_group_ca"": 18,   ""self_reported_interpersonal_ca"": 12,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""low"" }"
6ac07c3845b0ce5cac4ab3569ea70236b7cfa8fd51576e12226279a282182dcb__transit,"{""gt_group_ca"":11,""gt_interpersonal_ca"":12,""gt_group_band"":""low"",""gt_interpersonal_band"":""low""}","{   ""self_reported_group_ca"": 18,   ""self_reported_interpersonal_ca"": 12,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""low"" }"
6ac07c3845b0ce5cac4ab3569ea70236b7cfa8fd51576e12226279a282182dcb__full,"{""gt_group_ca"":11,""gt_interpersonal_ca"":12,""gt_group_band"":""low"",""gt_interpersonal_band"":""low""}","{   ""self_reported_group_ca"": 18,   ""self_reported_interpersonal_ca"": 12,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""low"" }"
6ac07c3845b0ce5cac4ab3569ea70236b7cfa8fd51576e12226279a282182dcb__v3_rideshare,"{""gt_group_ca"":11,""gt_interpersonal_ca"":12,""gt_group_band"":""low"",""gt_interpersonal_band"":""low""}","{   ""self_reported_group_ca"": 18,   ""self_reported_interpersonal_ca"": 12,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""low"" }"
6ac07c3845b0ce5cac4ab3569ea70236b7cfa8fd51576e12226279a282182dcb__v3_public_transit,"{""gt_group_ca"":11,""gt_interpersonal_ca"":12,""gt_group_band"":""low"",""gt_interpersonal_band"":""low""}","{   ""self_reported_group_ca"": 18,   ""self_reported_interpersonal_ca"": 12,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""low"" }"
6ac07c3845b0ce5cac4ab3569ea70236b7cfa8fd51576e12226279a282182dcb__v3_voice,"{""gt_group_ca"":11,""gt_interpersonal_ca"":12,""gt_group_band"":""low"",""gt_interpersonal_band"":""low""}","{   ""self_reported_group_ca"": 18,   ""self_reported_interpersonal_ca"": 12,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""low"" }"
